LITERATURE_0182,A Tale of Two Cities,"Charles Dickens
1859"
LITERATURE_0183,"Franz Kafka
1915",The Metamorphosis
LITERATURE_0184,The Metamorphosis,"Franz Kafka
1915"
LITERATURE_0185,"Anna Sewell
1877",Black Beauty
LITERATURE_0186,Black Beauty,"Anna Sewell
1877"
LITERATURE_0187,"George Eliot
1861",Silas Marner
LITERATURE_0188,Silas Marner,"George Eliot
1861"
LITERATURE_0189,"Jane Austen
1815",Emma
LITERATURE_0190,Emma,"Jane Austen
1815"
LITERATURE_0191,"Jane Austen
1811",Sense and Sensibility
LITERATURE_0192,Sense and Sensibility,"Jane Austen
1811"
LITERATURE_0193,"Harriet Beecher Stowe
1852",Uncle Tom's Cabin
LITERATURE_0194,Uncle Tom's Cabin,"Harriet Beecher Stowe
1852"
LITERATURE_0195,"Upton Sinclair
1905 (Serial)
1906 (Book)",The Jungle
LITERATURE_0196,The Jungle,"Upton Sinclair
1905 (Serial)
1906 (Book)"
LITERATURE_0197,"Sir Walter Scott
1819",Ivanhoe
LITERATURE_0198,Ivanhoe,"Sir Walter Scott
1819"
LITERATURE_0199,"Donna Tartt
2013",The Goldfinch
LITERATURE_0200,The Goldfinch,"Donna Tartt
2013"
LITERATURE_0201,"Zora Neale Hurston
1937",Their Eyes Were Watching God
LITERATURE_0202,Their Eyes Were Watching God,"Zora Neale Hurston
1937"
LITERATURE_0203,"Daphne du Maurier
1938",Rebecca
LITERATURE_0204,Rebecca,"Daphne du Maurier
1938"
LITERATURE_0205,"James Joyce
1914",Dubliners
LITERATURE_0206,Dubliners,"James Joyce
1914"
LITERATURE_0207,"Daniel Defoe
1719",Robinson Crusoe
LITERATURE_0208,Robinson Crusoe,"Daniel Defoe
1719"
LITERATURE_0209,"Rachel Carson
1962",Silent Spring
LITERATURE_0210,Silent Spring,"Rachel Carson
1962"
LITERATURE_0211,"Fyodor Dostoyevsky
1869",The Idiot
LITERATURE_0212,The Idiot,"Fyodor Dostoyevsky
1869"
