US_CITY_POPULATIONS_0144,Lincoln,"Nebraska
290,000
Capital"
US_CITY_POPULATIONS_0145,"Nevada
60,000
Capital",Carson City
US_CITY_POPULATIONS_0146,Carson City,"Nevada
60,000
Capital"
US_CITY_POPULATIONS_0147,"New Hampshire 
40,000
Capital",Concord
US_CITY_POPULATIONS_0148,Concord,"New Hampshire 
40,000
Capital"
US_CITY_POPULATIONS_0149,"New Jersey
90,000
Capital",Trenton
US_CITY_POPULATIONS_0150,Trenton,"New Jersey
90,000
Capital"
US_CITY_POPULATIONS_0151,"New York 
100,000
Capital",Albany
US_CITY_POPULATIONS_0152,Albany,"New York 
100,000
Capital"
US_CITY_POPULATIONS_0153,"North Carolina
470,000
Capital",Raleigh
US_CITY_POPULATIONS_0154,Raleigh,"North Carolina
470,000
Capital"
US_CITY_POPULATIONS_0155,"North Dakota 
70,000
Capital",Bismarck
US_CITY_POPULATIONS_0156,Bismarck,"North Dakota 
70,000
Capital"
US_CITY_POPULATIONS_0157,"Oregon
180,000
Capital",Salem
US_CITY_POPULATIONS_0158,Salem,"Oregon
180,000
Capital"
US_CITY_POPULATIONS_0159,"Pennsylvania 
50,000
Capital ","Harrisburg "
US_CITY_POPULATIONS_0160,"Harrisburg ","Pennsylvania 
50,000
Capital "
US_CITY_POPULATIONS_0161,"South Carolina 
140,000
Capital","Columbia "
US_CITY_POPULATIONS_0162,"Columbia ","South Carolina 
140,000
Capital"
US_CITY_POPULATIONS_0163,"South Dakota 
15,000
Capital",Pierre
US_CITY_POPULATIONS_0164,Pierre,"South Dakota 
15,000
Capital"
US_CITY_POPULATIONS_0165,"Texas
960,000
Capital",Austin
US_CITY_POPULATIONS_0166,Austin,"Texas
960,000
Capital"
US_CITY_POPULATIONS_0167,"Vermont
10,000
Capital ","Montpelier "
US_CITY_POPULATIONS_0168,"Montpelier ","Vermont
10,000
Capital "
US_CITY_POPULATIONS_0169,"Virginia 
230,000
Capital ","Richmond "
US_CITY_POPULATIONS_0170,"Richmond ","Virginia 
230,000
Capital "
US_CITY_POPULATIONS_0171,"Washington 
60,000
Capital ",Olympia
US_CITY_POPULATIONS_0172,Olympia,"Washington 
60,000
Capital "
US_CITY_POPULATIONS_0173,"Wisconsin
270,000
Capital ","Madison "
US_CITY_POPULATIONS_0174,"Madison ","Wisconsin
270,000
Capital "
US_CITY_POPULATIONS_0175,"American Samoa
3,000 
Capital",Pago Pago
US_CITY_POPULATIONS_0176,Pago Pago,"American Samoa
3,000 
Capital"
US_CITY_POPULATIONS_0177,"Guam
1,000
Capital",Hagatna
US_CITY_POPULATIONS_0178,Hagatna,"Guam
1,000
Capital"
